city,lat,lng,country,population,population_proper
Manila,14.6,120.9833,Philippines,23088000,1780148
Quezon City,14.6333,121.0333,Philippines,2936116,2936116
Davao,7.0667,125.6,Philippines,1632991,1632991
Caloocan City,14.65,120.9667,Philippines,1583978,1583978
Cebu City,10.3,123.9,Philippines,922611,922611
Zamboanga City,6.9167,122.0833,Philippines,861799,861799
Taguig City,14.5167,121.05,Philippines,804915,804915
Antipolo,14.5842,121.1763,Philippines,776386,776386
Pasig City,14.575,121.0833,Philippines,755300,755300
Cagayan de Oro,8.4833,124.65,Philippines,675950,675950
City of Parañaque,14.4667,121.0167,Philippines,665822,665822
Dasmariñas,14.3294,120.9367,Philippines,659019,659019
Valenzuela,14.7,120.9833,Philippines,620422,620422
Bacoor,14.4624,120.9645,Philippines,600609,600609
General Santos,6.1167,125.1667,Philippines,594446,594446
Las Piñas City,14.45,120.9833,Philippines,588894,588894
Makati City,14.55,121.0333,Philippines,582602,582602
San Jose del Monte,14.8139,121.0453,Philippines,574089,574089
Bacolod,10.6765,122.9509,Philippines,561875,561875
Muntinlupa City,14.3833,121.05,Philippines,504509,504509
City of Calamba,14.2167,121.1667,Philippines,454486,454486
Marikina City,14.65,121.1,Philippines,450741,450741
Iloilo,10.7167,122.5667,Philippines,447992,447992
Pasay City,14.55,121,Philippines,416522,416522
Angeles City,15.1472,120.5847,Philippines,411634,411634
Lapu-Lapu City,10.3127,123.9488,Philippines,408112,408112
Imus,14.4297,120.9367,Philippines,403785,403785
Mandaluyong City,14.5833,121.0333,Philippines,386276,386276
Rodriguez,14.7167,121.1167,Philippines,369222,369222
Malabon,14.6625,120.9567,Philippines,365525,365525
Mandaue City,10.3333,123.9333,Philippines,362654,362654
Santa Rosa,14.3167,121.1167,Philippines,353767,353767
Baguio City,16.4152,120.5956,Philippines,345366,345366
Iligan,8.2333,124.25,Philippines,342618,342618
Tarlac City,15.4802,120.5979,Philippines,342493,342493
Butuan,8.9534,125.5288,Philippines,337063,337063
Biñan,14.3333,121.0833,Philippines,333028,333028
Lipa City,13.9411,121.1622,Philippines,332386,332386
Batangas,13.75,121.05,Philippines,329874,329874
San Pedro,14.3583,121.0583,Philippines,325809,325809
Cainta,14.5667,121.1167,Philippines,322128,322128
Taytay,14.5692,121.1325,Philippines,319104,319104
General Trias,14.3833,120.8833,Philippines,314303,314303
Cabuyao,14.275,121.125,Philippines,308745,308745
San Fernando,15.0333,120.6833,Philippines,306659,306659
Cabanatuan City,15.4833,120.9667,Philippines,302231,302231
Cotabato,7.2167,124.25,Philippines,299438,299438
Binangonan,14.4514,121.1919,Philippines,282474,282474
Lucena,13.9333,121.6167,Philippines,266248,266248
San Pablo,14.07,121.325,Philippines,266068,266068
Tagum,7.4478,125.8078,Philippines,259444,259444
Santa Maria,14.8183,120.9563,Philippines,256454,256454
Puerto Princesa,9.75,118.75,Philippines,255116,255116
San Mateo,14.6969,121.1219,Philippines,252527,252527
Malolos,14.8433,120.8114,Philippines,252074,252074
Mabalacat,15.2167,120.5833,Philippines,250799,250799
Navotas,14.6667,120.9417,Philippines,249463,249463
Silang,14.2306,120.975,Philippines,248085,248085
Tacloban,11.2444,125.0039,Philippines,242089,242089
Olongapo,14.8333,120.2833,Philippines,233040,233040
Talisay,10.25,123.8333,Philippines,227645,227645
Tanza,14.3944,120.8531,Philippines,226188,226188
Marilao,14.7581,120.9481,Philippines,221965,221965
Ormoc,11.0167,124.6167,Philippines,215031,215031
Meycauayan,14.7333,120.95,Philippines,209083,209083
Marawi City,8,124.3,Philippines,201785,201785
Pagadian,7.8333,123.4333,Philippines,199060,199060
Legazpi City,13.1333,123.7333,Philippines,196639,196639
Naga City,13.6167,123.1667,Philippines,196003,196003
Valencia,7.9,125.0833,Philippines,192993,192993
San Carlos City,15.9281,120.3489,Philippines,188571,188571
Panabo,7.3,125.6833,Philippines,184599,184599
Calbayog City,12.0667,124.6,Philippines,183851,183851
Kabankalan,9.9833,122.8167,Philippines,181977,181977
Santo Tomas,14.0833,121.1833,Philippines,179844,179844
Koronadal,6.5,124.85,Philippines,174942,174942
Malaybalay,8.1575,125.1278,Philippines,174625,174625
Tanauan,14.0833,121.15,Philippines,173366,173366
Dagupan City,16.0333,120.3333,Philippines,171271,171271
Bago,10.5388,122.8384,Philippines,170981,170981
Toledo,10.3833,123.65,Philippines,170335,170335
Digos,6.75,125.35,Philippines,169393,169393
Sorsogon,12.9667,124,Philippines,168110,168110
Roxas City,11.5833,122.75,Philippines,167003,167003
Lubao,14.9333,120.6,Philippines,160838,160838
Trece Martires City,14.2833,120.8667,Philippines,155713,155713
General Mariano Alvarez,14.3,121,Philippines,155143,155143
Cadiz,10.95,123.3,Philippines,154723,154723
Mexico,15.0667,120.7167,Philippines,154624,154624
Pikit,7.05,124.6667,Philippines,154441,154441
Concepcion,15.3249,120.6554,Philippines,154188,154188
Surigao,9.7833,125.4833,Philippines,154137,154137
San Miguel,15.1458,120.9783,Philippines,153882,153882
Tuguegarao,17.6167,121.7167,Philippines,153502,153502
Polomolok,6.2167,125.0667,Philippines,152589,152589
Midsayap,7.1917,124.5333,Philippines,151684,151684
Baliuag,14.95,120.9,Philippines,149954,149954
Sariaya,13.9667,121.5333,Philippines,148980,148980
Sagay,10.9,123.4167,Philippines,146264,146264
Ilagan,17.1333,121.8833,Philippines,145568,145568
San Jose,12.3528,121.0676,Philippines,143430,143430
Ozamiz City,8.15,123.85,Philippines,141828,141828
Mati,6.95,126.2333,Philippines,141141,141141
Capas,15.3312,120.5898,Philippines,140202,140202
Kidapawan,7.0083,125.0894,Philippines,140195,140195
San Jose,15.7833,121,Philippines,139738,139738
Danao,10.5333,123.9333,Philippines,136471,136471
Santiago,16.6833,121.55,Philippines,134830,134830
Nasugbu,14.0667,120.6333,Philippines,134113,134113
Calapan,13.3667,121.2,Philippines,133893,133893
Tabaco,13.35,123.7333,Philippines,133868,133868
Arayat,15.1493,120.7692,Philippines,133492,133492
Urdaneta,15.9761,120.5711,Philippines,132940,132940
San Carlos,10.4929,123.4095,Philippines,132536,132536
Minglanilla,10.245,123.7964,Philippines,132135,132135
Consolacion,10.4,123.95,Philippines,131528,131528
Dumaguete City,9.3103,123.3081,Philippines,131377,131377
Dipolog,8.5667,123.3333,Philippines,130759,130759
Malasiqui,15.9167,120.4167,Philippines,130275,130275
Hagonoy,14.8333,120.7333,Philippines,129807,129807
Calabayan,16.7667,121.7833,Philippines,129523,129523
La Trinidad,16.4621,120.5877,Philippines,129133,129133
Mariveles,14.4333,120.4833,Philippines,127536,127536
Silay,10.8,122.9667,Philippines,126930,126930
Daraga,13.1619,123.6939,Philippines,126595,126595
Jolo,6.05,121,Philippines,125564,125564
Floridablanca,14.9333,120.5,Philippines,125163,125163
Talavera,15.5839,120.9189,Philippines,124829,124829
Gingoog,8.8167,125.1,Philippines,124648,124648
Porac,15.0719,120.5419,Philippines,124381,124381
